rhoL,uL,TL,rhoR,uR,TR,s1,s2,s3,type
1.025865,0.8882908,1.106924,0.592064,0.3333201,1.023999,-0.4094401,-0.2190284,-0.476956,4
1.780465,-0.1281049,0.3582507,0.04004708,-0.03555768,0.355236,-0.3504806,0.4657213,-0.4113189,4
0.7504146,0.6235333,1.012458,1.335448,0.02096403,0.2802885,0.3293954,-0.9389498,-0.4566317,4
1.239193,-0.6496018,1.253796,0.6149164,-0.08428817,0.6724686,-1.595714,-0.2627825,-1.054124,4
1.36889,-0.3385007,1.224558,0.7373278,-0.3319916,0.6815599,-2.043618,-0.253408,-1.166893,4
1.278917,0.2657668,0.4323909,0.2698057,0.01891782,0.3955568,-0.2689691,-0.294654,-0.3126058,4
1.995598,-1.392458,1.3195,0.1446585,-1.594286,1.358727,-0.4013177,-0.09859715,-0.5640594,4
0.7181914,0.1337042,1.076504,0.9051522,0.1979554,0.446409,1.999667,3.135935,-1.022811,4
1.021372,0.8349702,0.7483881,1.092214,0.2469812,0.4759853,-2.033893,0.1670684,0.06996687,4
0.9429674,0.300952,1.374277,0.9018357,-0.5042421,1.302063,-5.234568,-0.1778975,-1.919422,4
1.350952,-0.0396115,0.9817699,0.6099121,0.3032647,0.6042453,-1.231819,1.0496,-1.028901,4
1.551535,-0.4066198,0.8119636,0.3795028,0.09697625,0.08460582,-0.8095254,-0.0004599208,-0.6778396,4
1.886103,1.293362,1.312949,0.4070973,0.7275388,1.046941,-0.3010053,-0.529204,-0.4071888,4
1.206218,-0.02321863,1.294707,1.448504,-0.5073739,0.6662821,6.172187,0.1158056,-1.123873,4
1.816969,0.3737891,1.293698,1.636256,-0.007603585,0.8185011,-5.735009,-1.241254,-1.137267,4
0.7886549,0.4147742,1.103524,0.517813,-0.3143788,0.380908,-2.593985,-0.7743935,-0.8215338,4
0.2156975,0.2970638,0.8527586,0.5765398,-0.1703645,0.4269638,0.2655124,-0.1813996,-0.01524414,4
0.854656,1.110811,1.080343,0.5309234,0.4636901,1.234324,0.3815134,0.4800751,0.6390848,4
1.115122,-0.225005,1.288363,0.7887774,-0.4885532,0.8074823,-3.36116,0.7469966,-1.287778,4
1.45872,0.4604959,1.403456,0.6764865,0.4907962,0.5216801,-1.694251,-4.451174,-1.228453,4
0.4217666,-0.08126497,1.315432,0.1878399,-0.8292544,0.8750957,-2.098874,0.6369184,-1.452179,4
0.6035269,0.4729771,1.272081,0.2634051,-0.3469178,0.3268723,-1.851781,-1.176811,-0.9942132,4
0.6885026,0.8556271,1.148169,0.07265576,-0.7160413,1.247604,-0.6440852,-0.4291229,-0.8565182,4
